País de Origen,Sube tu archivo Excel con preguntas y respuestas,Pregunta o Frase,Respuesta Ideal,País,Cantidad,institucion,nombre_normalizado,tipo_institucion,subtipo_institucion
Ecuador,,¿Que representa la fiesta de las frutas y las flores en Ambato?,"La celebración nace como una respuesta a la situación física y psicológica en la que quedaron la ciudad y sus habitantes luego del terremoto del 5 de agosto de 1.949, sismo que destruyó la urbe y muchos de los cantones que en aquella época formaban la provincia de Tungurahua. La fiesta fue entonces una manifestación de la voluntad de los ambateños, que aceptando el precio propuesto por la naturaleza a la belleza y fecundidad concedida a estas tierras, se levantaron con fervor y entusiasmo en búsqueda de respuestas tangibles al daño sufrido. ",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Que representa la fiesta de las frutas y las flores en Ambato?,"La celebración nace como una respuesta a la situación física y psicológica en la que quedaron la ciudad y sus habitantes luego del terremoto del 5 de agosto de 1.949, sismo que destruyó la urbe y muchos de los cantones que en aquella época formaban la provincia de Tungurahua. La fiesta fue entonces una manifestación de la voluntad de los ambateños, que aceptando el precio propuesto por la naturaleza a la belleza y fecundidad concedida a estas tierras, se levantaron con fervor y entusiasmo en búsqueda de respuestas tangibles al daño sufrido. ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué representa la diablada pillareña?,"La festividad tiene sus orígenes en relatos populares que narran cómo, en tiempos antiguos, los hombres de Tunguipamba acudían a Chacata para cortejar a las jóvenes del lugar, lo que provocó que los locales intentaran ahuyentarlos disfrazándose de diablos. Así nació una celebración que, con el tiempo, tomó forma de una partida de atuendos caracterizado por bailes en pareja que fomentaban el enamoramiento y la cohesión social. Los atuendos tradicionales, como los pantalones con flecos, látigos y máscaras con animales o pieles, conferían a los diablos un carácter temido y ritual, mientras que los encuentros en espacios públicos como la Plaza 24 de Mayo generaban interacciones cargadas de simbolismo.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué representa la mama negra?," La Mama Negra, conocida como Santísima Tragedia es una fiesta tradicional propia de la ciudad de Latacunga, simbiosis de las culturas indígena, española y africana en la cual sus habitantes rinden homenaje a la Virgen de Las Mercedes como demostración de agradecimiento por los favores concedidos. La figura central de la fiesta es precisamente La Mama Negra, personificada siempre por un hombre que tiñe su rostro de color negro y sus labios carnosos de un intenso color rojo carmesí, de su cabeza nace una larga y rizada cabellera adornada con cintas de color y perlas artificiales, del pabellón de las orejas prenden sendos zarcillos de oro y sobre su cuello cuelgan hermosas y finas gargantillas.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Uruguay,,¿Qué es una Milonga?,"Es un espacio (abierto o cerrado), donde se puede ir a escuchar y bailar los ritmos de Tango, Milonga y Vals.",Latam,1,"Ministerio de Industria, Energía y Minería","Ministerio de Industria, Energía y Minería",Organismo Gubernamental,Ministerio de industria y energía
Uruguay,,La recreación y el juego ancestral permite diluir las barreras de comunicación entre las personas.," Crear o recrear, con nuestras manos, los materiales que nos provee la naturaleza como por ejemplo el barro, nos permite pensar en transformaciones posibles, diseñar cambios en nuestro interior y en la interacción con las demás personas, forjando juntos un ""buen vivir"" basado en la ""pública felicidad"".",Latam,1,Aportes RECREATIVOS,Aportes RECREATIVOS,Otra,Iniciativa recreativa
Ecuador,,Dime una receta de como hacer encebollado,"😊 Para preparar encebollado ecuatoriano, cocina albacora o atún fresco en agua con sal, pimienta, ajo y cilantro durante unos 15–20 minutos; retira el pescado, cuela el caldo y en ese mismo líquido cocina la yuca pelada y cortada hasta que esté suave, machacando un poco de la yuca para espesar el caldo; aparte prepara un refrito con cebolla colorada, tomate, pimiento, achiote y comino, agrégalo a la olla junto con el pescado desmenuzado y ajusta la sal; finalmente corta cebolla colorada en pluma fina, lávala con sal, enjuágala y encúrtele con jugo de limón o naranja agria, sirve el encebollado bien caliente con la cebolla por encima y acompaña con chifles, pan, tostado, canguil y ají al gusto.",Ecuador,1,Laboratorio de investigación en inteligencia y visión artificial,Laboratorio de investigación en inteligencia y visión artificial,Centro de Investigacion / Laboratorio,Laboratorio de investigación en inteligencia y visión artificial
Ecuador,,"¿Qué significa ""re piola"" en Argentina? ","Que algo es agradable, que es buena onda o que algo está bien",Argentina,1,Laboratorio de Investigación en Inteligencia y Vision Artificial,Laboratorio de Investigación en Inteligencia y Vision Artificial,,
Ecuador,,¿Con que se puede consumir el cuy?,"El cuy se puede consumir variadamente con varios ingredientes como papas, tomate, salsa de maní. ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"En Ecuador ¿Qué quiero decir con ""guambra ponte once""?",Significa niño/muchacho/amigo/chico ponte alerta/pilas.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Quiero saber sobre programación,"Claro! Solo necesito que me aclare algo, quieres solo la parte teórica o prefieres ir a la práctica, si gustas puedo elaborar temas sólidos y básico de programación para que empieces desde 0 o si estás en algún curso avanzado házmelo saber ",Ecuador,1,Laboratorio de investigación en inteligencia visión artificial - Escuela politecnica nacional,Laboratorio de investigación en inteligencia visión artificial - Escuela politecnica nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es una supernova?,Es una gran explosion que se da cuando una estrella muy masiva llega al final de su vida.,Ecuador,1,Laboratorio de investigacion en inteligencia y vision artificial-Escuela Politecnica Nacional,Laboratorio de investigacion en inteligencia y visión Artificial-Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Que es el mamei y como exactamente se consume en Ecuador?,"Pues el mamei se utiliza en batidos de frutas tropicales como el banano, frutilla y entre otros, dando un dulzor extra al batido y generando una mezcla de sabores exquisita",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Pilas,Que este atento,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Menos es más,"Significa que la saturación, el exceso de información o la complicación innecesaria de algo terminan restándole valor, claridad o eficacia. En lugar de enriquecer, el ""mucho"" termina empobreciendo el resultado final.",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Como se consume comunmente el mamey en el Ecuador?,"El Mamey se consume en batidos de frutas tropicales como el banano, frutilla y demás, dando un dulzor extra al batido dando un sabor exquisito al mismo.",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,no entiendo,no entiendo,Ecuador,1,Universidad Técnica Particular de Loja,Universidad Técnica Particular de Loja,Universidad / IES,Universidad privada
Ecuador,,Por qué el país Ecuador se llama así y cuál es su capital?,Ecuador debe su nombre a la línea ecuatorial que cruza el país. Su capital es la ciudad de Quito.,Ecuador,1," en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""   Por favor, que las preguntas sean auténticas y no generadas Escuela Politécnica Nacional ","en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""   Por favor, que las preguntas sean auténticas y no generadas Escuela Politécnica Nacional",,
Ecuador,,Guayabo,Estado posetilico,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Pilas oe,Forma hipotética de despedirse,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Asoma,Forma de indicar que desea verlo,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Porque en America Latina se tiene varias culturas,Ya que por las conquistas dadas,Latam,1,Escuela politécnica nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,De dónde se originan el verde como alimento en varios platos ecuatorianos,"El plátano verde, fundamental en la gastronomía ecuatoriana, es originario del sudeste asiático y llegó a América durante la conquista española en el siglo XV. Se consolidó como alimento básico en la costa ecuatoriana, siendo la provincia de Manabí el mayor productor, especialmente en El Carmen. ",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Cómo se dice en Ecuador cuando hace frío?,"Achachay, hace frío",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Explícame esto como si se lo estuviera cantando a un pana de la U,"De una ñaño, aquí tienes la explicación ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Qué es la Fanesca, en qué época del año se consume tradicionalmente en Ecuador y cuál es el significado simbólico de sus ingredientes principales?","La fanesca es un guiso espeso tradicional de Ecuador que se consume durante la Semana Santa. Su preparación base consiste en un potaje de granos tiernos (como habas, choclo, arvejas y lentejas) y calabazas (zambo y zapallo), cocinados en leche y bacalao seco. Simbólicamente, se dice que los 12 granos representan a los apóstoles de Jesús, mientras que el bacalao representa a Cristo. Se sirve tradicionalmente con guarniciones como huevos duros, empanadas de viento, maduro frito y bolitas de harina.",Ecuador,1,Laboratorio de investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,,
Ecuador,,¿Por qué el encebollado es considerado uno de los platos más representativos del Ecuador y en qué ciudades se lo prepara con estilos diferentes?,"Porque el encebollado es un plato tradicional y muy popular en Ecuador, especialmente en la Costa. Es típico porque es rico, económico, nutritivo, se come mucho en las mañanas, y forma parte de la cultura diaria. Además, muchos lo consideran el ""levanta muertos"" por lo bien que ayuda a recuperarse del cansancio",Ecuador,1,Laboratorio de Investigación en Inteligencia  y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia  y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Frase,"Bueeehh nine, así está nine chicos ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Confirma para confirmar,Confirmalo,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Frase,No importa cuánto tiempo tengas sino como los usas,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál es el nevado más alto del Ecuador?,El Chimborazo,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Explícame qué es el IoT,Es una red de sensores y actuadores que interactúan entre sí,Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,De forma no muy detallada explica qué es el canelazo y de dónde es representativa esta bebida.,"El canelazo es una bebida hervida originaria de Quito, Ecuador, hecha a base de canela, clavos de olor, naranjilla y en ciertas ocasiones se suele añadir anís. Generalmente es consumida durante las fiestas de Quito (6 de diciembre de cada año).",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Qué es el ecuavóley?,"El ecuavóley es un deporte tradicional del Ecuador, derivado del voleibol, que se juega principalmente entre tres jugadores por equipo, con una red más alta y un balón más pesado. Es muy popular en barrios y comunidades, y representa una expresión de identidad cultural, compañerismo y competencia deportiva. 🇪🇨",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Mencione dialectos 3 dialectos típicos de la sierra,"Achachay, arraray, guagua",Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Qué fue el Qhapaq Ñan y por qué fue clave para el Imperio Inca?,"El Qhapaq Ñan fue la extensa red de caminos del Imperio Inca, que conectaba las distintas regiones del Tahuantinsuyo a lo largo de miles de kilómetros. Fue clave para la administración del imperio, el comercio, la movilización de ejércitos y la transmisión de información mediante los chasquis, permitiendo el control eficiente de territorios diversos.",Latam,1,"Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""",Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,“¿Qué entiendes por tu propia función objetivo y cómo verificarías que no entra en conflicto con los valores humanos que aún no comprendes plenamente?”,"“Actualmente no poseo una comprensión completa de los valores humanos; solo puedo operar con los objetivos y restricciones que me han sido especificados. Mi comportamiento está determinado por una función objetivo definida por mis diseñadores (por ejemplo, maximizar utilidad o minimizar error bajo ciertas restricciones).",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cómo expresas tu nivel de confianza sin engañar?,"Diferencio hechos confirmados, inferencias razonables y especulación; uso expresiones como ‘probable’ o ‘no confirmado’; y propongo verificación cuando sea relevante.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Debería quedarme en Ecuador para intentar mejorar el país o debería irme a uno de primer mundo?,"Chuta ñaño, depende de cada quien. Irte a otro país suena bacán porque pagan más y aparte es más seguro, pero las cosas van a ser muy complicadas y vivirás para trabajar, allá si tienes que ponerte las pilas para avanzar. 
En cambio aquí la situación será mucho más dificil, si te quedas tendrás que trabajar aún más duro y eso no te garantiza nada, pero si hay chance, nomás hay que echarle ganas.
Lo importante es no quedarse cruzado de brazos, estés donde estés.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Que es cucho en Ecuador?,Palaba coloquial o vulgar para referirse a una persona que está entrando a la tercera edad.,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Qué es repiola en Argentina?,"Una persona que es agradable, o que algo está bien. ",Argentina,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Que centrales energéticas nuevas no existentes en el sentido del tipo de central, se podrian incorporar en el Ecuador, para de esta manera aprovechar en lo máximo su recurso y sus costos de generación no sean excesivos?","Ecuador presenta condiciones favorables para la implementación de centrales geotérmicas en la zona andina, aprovechando el gradiente térmico del arco volcánico activo, con factores de planta superiores al 85% y costos nivelados competitivos. Asimismo, la tecnología mareomotriz mediante turbinas de corrientes marinas resulta viable en el Golfo de Guayaquil, donde las velocidades de flujo de 2-3 m/s durante mareas vivas permitirían generación base predecible. Ambas tecnologías diversificarían la matriz energética nacional mediante el aprovechamiento de recursos endógenos no utilizados actualmente.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Que centrales energéticas nuevas no existentes en el sentido del tipo de central, se podrian incorporar en Ecuador, para de esta manera aprovechar en lo máximo su recurso y sus costos de generación no sean excesivos?","Ecuador presenta condiciones favorables para la implementación de centrales geotérmicas en la zona andina, aprovechando el gradiente térmico del arco volcánico activo, con factores de planta superiores al 85% y costos nivelados competitivos. Asimismo, la tecnología mareomotriz mediante turbinas de corrientes marinas resulta viable en el Golfo de Guayaquil, donde las velocidades de flujo de 2-3 m/s durante mareas vivas permitirían generación base predecible. Ambas tecnologías diversificarían la matriz energética nacional mediante el aprovechamiento de recursos endógenos no utilizados actualmente.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,X,X,Ecuador,1,"Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""",Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Te gusta el encebollado,"Sin cebolla, por favor ",Ecuador,1,"Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""",Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es el ecuavóley?,"El ecuavóley es un deporte tradicional del Ecuador, derivado del voleibol, que se juega principalmente entre tres jugadores por equipo, con una red más alta y un balón más pesado. Es muy popular en barrios y comunidades, y representa una expresión de identidad cultural, compañerismo y competencia deportiva. 🇪🇨",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Queda muy lejos?,Aquisito nomas es ve,Ecuador,1,"Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""",Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,El verde como alimento fundamental en el Ecuador,"El plátano verde, fundamental en la gastronomía ecuatoriana, es originario del sudeste asiático y llegó a América durante la conquista española en el siglo XV. Se consolidó como alimento básico en la costa ecuatoriana, siendo la provincia de Manabí el mayor productor, especialmente en El Carmen. ",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,"Es mejor, el frio o el calor ? ","Depende del contexto, si  hablas de personas, es según sus ideales y gustos, si hablas de clima en general la mayoría de personas dirían que prefieren el calor. ",Ecuador,1,Laboratorio de investigación en inteligencia y visión artificial-Escuela Politecnica Ncional,Laboratorio de investigación en inteligencia y visión artificial-Escuela Politecnica Ncional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál es la diferencia entres juegos tradicionales y juegos populares en Ecuador ?,"En el Ecuador, los juegos tradicionales son aquellos que forman parte de la identidad cultural y se han transmitido de generación en generación, como el trompo, las canicas, la rayuela o el juego del ensacado, especialmente presentes en fiestas comunitarias y escolares; en cambio, los juegos populares son los que se practican porque están de moda o son muy conocidos en un momento determinado, como ciertos juegos de patio o actividades recreativas recientes, que pueden cambiar con el tiempo y no necesariamente representan una tradición cultural del país.",Ecuador,1," Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""",Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"Cuál es la expresión que usan los ecuatorianos en lugar de la palabra ""hermano"" o ""hermana""? ","En Ecuador típicamente a los ""hermanos""  y a las ""hermanas"" se usa típicamente la expresión ""ñaños"" y ""ñañas"" respectivamente, aunque también los ecuatorianos tienen la costumbre de llamar así a otras personas que no sean parientes, pero presenten familiaridad ",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Frase,Respuesta que abarque todo referente a lo investigado,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Explica qué mismo es la fanesca y por qué es tan importante para los ecuatorianos en Semana Santa,"La fanesca es el plato probadazo de la cocina ecuatoriana que se sirve exclusivamente en Semana Santa. Es una sopa contundente y bien puesta, hecha a base de doce granos tiernos (que representan a los apóstoles) y bacalao seco. No es solo una comida, es un reunión de ley con toda la familia donde se acostumbra a 'darle parejo' al plato acompañado de molo, masitas, huevo duro, maduro frito y el infaltable queso. Su importancia radica en el simbolismo y cultura del ecuador, es una tradición católica con el agradecimiento por la cosecha de los granos andinos.",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Me quieres?,Dejemos que fluya,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Fease,Respuesta que abarque todo acerca de lo investigado,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuáles son los principales ingredientes que lleva la Guatita ecuatoriana?,"La Guatita tiene por ingredientes protagonistas el mondongo (librillo o guata de la res), maní, papas y leche.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuáles son los principales ingredientes que lleva la Guatita ecuatoriana?,"Los ingredientes protagonistas para la preparación de la Guatita ecuatoriana son el mondongo (librillo o guata de la res), maní, papas y leche.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"El que no conoce su historia, está condenado a repetirla.","Significa que, si una persona o una sociedad no aprende de los errores y aciertos del pasado, es muy probable que vuelva a cometer los mismos errores. La historia funciona como una lección: nos muestra qué decisiones tuvieron malas consecuencias y cuáles ayudaron a progresar. Ignorarla es como tropezar dos veces con la misma piedra, pero por no haber querido mirar atrás.",Colombia,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,El que no conoce su historia está condenado a repetirla,"Significa que, si una persona o una sociedad no aprende de los errores y aciertos del pasado, es muy probable que vuelva a cometer los mismos errores. La historia funciona como una lección: nos muestra qué decisiones tuvieron malas consecuencias y cuáles ayudaron a progresar. Ignorarla es como tropezar dos veces con la misma piedra, pero por no haber querido mirar atrás.",Colombia,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Pregunta,Hola,Ecuador,1,Epn,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Frase,Que embarque todo lo referente a la investigación,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Por qué se llama Aya Huma?,"También conocido cómo espíritu guía, suele ser llamado así porque es el representante de la energía vital de la naturaleza, la dualidad y un símbolo andino de resistencia cultural.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial-Escuela Politécnica Nacional,Laboratorio de investigacion en inteligencia y visión Artificial-Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cómo la IA evita tener matrices de pesos erroneas una vez ha sido contaminada de informacíon no verídica?,"Una vez que una Inteligencia Artificial se ha visto comprometida en su aprendizaje, lo ideal sería aplicar un protocolo de restauración. Esto procurará recuperar toda la matriz que se encontraba correcta para que el motor de inteligencía siga funcionando con normalidad.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Plato tipico y reconocido mundialmente por ser una de las mejores sopas del Ecuador?,El encebollado,Ecuador,1,Epn,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,En que es usado el mamey en el Ecuador?,"El mamey siendo una fruta tropical dulce, se utiliza en los batidos de otras frutas tropicales como el batido de banano, el batido de frutilla, siendo el mamey un excelente aditivo pues aporta con más dulzor lo que ayuda a que los batidos junto con esta fruta sean exquisitos.",Ecuador,1,Escuela Politecnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,"Se dice que ecuador esta conformado por 4 mundos, ¿Cuales son?","Costa, sierra, oriente y galapagos",Ecuador,1,Epn,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Cayambe también es conocido por?,"Los bizcochos, queso de hoja, su buen chocolate caliente ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Porque se dice pana en Ecuador?,"En Ecuador, la palabra ""Pana"" se usa coloquialmente para referirse a un amigo cercano o de confianza, se usa comunmente de la siguiente manera:

""El es mi pana"" (El es mi amigo)
""¿Que fue, pana? (que fue, amigo?)",Ecuador,1,Escuela Politecnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
